results/description,results/Name_EN,results/name,results/power,results/address,results/provider,results/latitude,results/longitude,results/evConnectorCount,results/evConnectorAggregation
"2x CCS2: 150 kW, Type2: 11 kW",Lotus’s U-Tapao,โลตัส อู่ตะเภา,150 kW,26/62 ม. 1 ต.พลูตาหลวง อ.สัตหีบ จ.ชลบุรี 20180,Altervim,12.69254,100.97612,,
"2x CCS2: 60 kW, Type2: 11 kW",Lotus's Ban Suan,โลตัส บ้านสวน,60 kW,57/37 ม.6 ต.บ้านสวน อ.เมืองชลบุรี จ.ชลบุรี 20000,Altervim,13.35348,101.00257,,
"2x CCS2: 60 kW, Type2: 11 kW",Lotus's Ban Bueng,โลตัส บ้านบึง,60 kW,64 ถ.บ้านบึง-บ้านค่าย ต.บ้านบึง อ.บ้านบึง จ.ชลบุรี 20170,Altervim,13.3056082,101.1212344,,
"2x CCS2: 60 kW, Type2: 11 kW",Lotus's Bowin,โลตัส บ่อวิน ,60 kW,เลขที่ 114/46 ม. 3 ต.บ่อวิน อ.ศรีราชา จ.ชลบุรี 20110,Altervim,13.03482043033877,101.0903550643659,,
"2x CCS2: 60 kW, Type2: 11 kW",Lotus's Nakhon Chai Si,โลตัส นครชัยศรี,60 kW, 68/2 หมู่ที่ 2 ถ.เพชรเกษม ตำบล ท่าตำหนัก อำเภอนครชัยศรี นครปฐม 73120,Altervim,13.79324294784488,100.1718754141685,,
"2x CCS2: 150 kW, Type2: 11 kW",Lotus's Bangpakong,​โลตัส บางปะกง,150 kW,99 หมู่ที่ 2 ตำบล บางวัว อำเภอบางปะกง จ.ฉะเชิงเทรา 24180,Altervim,13.55049,100.95999,,
"2x CCS2: 150 kW, Type2: 11 kW",Lotus’s Chiang Mai Kham Thiang,โลตัส เชียงใหม่คำเที่ยง,150 kW,19 ถ.ตลาดคำเที่ยง ต.ป่าตัน อ.เมือง จ.เชียงใหม่ 50300,Altervim,18.8083972,98.9969404,,
"2x CCS2: 60 kW, Type2: 11 kW",Lotus’s Chiang Mai Hangdong,โลตัส เชียงใหม่ หางดง,60 kW,132 ม.1 ต.ป่าแดด อ.เมือง จ.เชียงใหม่ 50100,Altervim,18.75881,98.97237,,
"2x CCS2: 60 kW, Type2: 11 kW",โลตัส จอมทอง,โลตัส จอมทอง,60 kW,100 ม.11 ต.ข่วงเปา อ.จอมทอง จ.เชียงใหม่ 50160,Altervim,18.42984,98.6812,,
"2x CCS2: 60 kW, Type2: 11 kW",Lotus's Chai Nat,โลตัส ชัยนาท,60 kW,364/25 ถ.ทางหลวงหมายเลข 340 ต.บ้านกล้วย อ.เมือง จ.ชัยนาท 17000,Altervim,15.1827,100.1336,,
"2x CCS2: 150 kW, Type2: 11 kW",Lotus's Chumphon,โลตัส ชุมพร,150 kW,เลขที่ 176 ม. 3 ต.วังไผ่ อ.เมืองชุมพร จ.ชุมพร 86000,Altervim,10.50364077457516,99.13846752534337,,
"2x CCS2: 150 kW, Type2: 11 kW",Lotus’s Chanthaburi,โลตัส จันทบุรี,150 kW,25/4 ถนน พระยาตรัง ตำบล ท่าช้าง อำเภอเมืองจันทบุรี จันทบุรี 22000,Altervim,12.61586626488968,102.1017046681119,,
"2x CCS2: 150 kW, Type2: 11 kW",Lotus's Khon Kaen 2,โลตัส ขอนแก่น 2,150 kW,709 ถ. มิตรภาพ ตำบล ศิลา อำเภอเมืองขอนแก่น ขอนแก่น 40000,Altervim,16.49225273298925,102.8312497514059,,
"2x CCS2: 60 kW, Type2: 11 kW",Lotus's Khonkaen,โลตัส ขอนแก่น,60 kW,356 ม.3 ถ.มิตรภาพ ต.เมืองเก่า อ.เมือง จ.ขอนแก่น 40000,Altervim,16.40078,102.81665,,
"2x CCS2: 60 kW, Type2: 11 kW",Lotus’s Phon,โลตัส พล,60 kW,11 ถ.มิตรภาพ ต.เมืองพล อ.พล จ.ขอนแก่น 40120,Altervim,15.80293,102.60606,,
"2x CCS2: 60 kW, Type2: 11 kW",Lotus's Kanchanaburi,โลตัส กาญจนบุรี,60 kW,355/3 ถ. แสงชูโต ตำบล ปากแพรก อำเภอเมืองกาญจนบุรี กาญจนบุรี 71000,Altervim,14.00429,99.54448,,
"2x CCS2: 60 kW, Type2: 11 kW",Lotus's Loei,โลตัส เลย,60 kW,99 ม. 8 ต.นาอาน อ.เมืองเลย จ.เลย 42000,Altervim,17.43675,101.7242,,
"2x CCS2: 150 kW, Type2: 11 kW",Lotus's Lampang,โลตัส ลำปาง,150 kW,222 ถ.ไฮเวย์ ลำปาง-งาว ต.พระบาท อ.เมืองลำปาง จ.ลำปาง 52000,Altervim,18.2799437,99.4932242,,
"2x CCS2: 60 kW, Type2: 11 kW",Lotus's Mukdahan,โลตัส มุกดาหาร,60 kW,35 ถ.ชยางกูร ต.มุกดาหาร อ.เมือง จ.มุกดาหาร 49000,Altervim,16.54881,104.71636,,
"2x CCS2: 60 kW, Type2: 11 kW",Lotus’s Nan,โลตัส น่าน,60 kW,320 หมู่ 4 ถนนยันตรกิจโกศล ตำบล ดู่ใต้ อำเภอเมืองน่าน น่าน 55000,Altervim,18.76481371286322,100.7615576851717,,
"2x CCS2: 150 kW, Type2: 11 kW",Lotus's Rattanathibet,โลตัส รัตนาธิเบศร์,150 kW,245 ถ.ติวานนท์ ต.บางกระสอ อ.เมืองนนทบุรี จ.นนทบุรี 11000,Altervim,13.861919,100.518856,,
"2x CCS2: 150 kW, Type2: 11 kW",Lotus's Bang Yai,โลตัส บางใหญ่,150 kW,90 หมู่ที่ 5 ถ. กาญจนาภิเษก ตำบล บางคูเวียง อำเภอบางกรวย นนทบุรี 11130,Altervim,13.82412093821432,100.409937035595,,
"2x CCS2: 150 kW, Type2: 11 kW",Lotus's Pongphet,โลตัส พงษ์เพชร,150 kW,99/9 ม.3 ต.บางเขน อ.เมือง จ.นนทบุรี 11000,Altervim,13.854498,100.544172,,
"2x CCS2: 60 kW, Type2: 11 kW",Lotus's Nakhon in,โลตัส นครอินทร์,60 kW,444 ม.4 ต.บางสีทอง อ.บางกรวย จ.นนทบุรี 11130,Altervim,13.82354,100.48044,,
"2x CCS2: 150 kW, Type2: 11 kW",Lotus's : Bang Kruai - Sai Noi,โลตัส บางกรวย-ไทรน้อย,150 kW,888 ม.2 ต.บางบัวทอง อ.บางบัวทอง จ.นนทบุรี 11110,Altervim,13.92387,100.41147,,
"2x CCS2: 150 kW, Type2: 11 kW",Lotus's Tiwanon (Pak Kret),​โลตัส ติวานนท์ (ปากเกร็ด​),150 kW,เลขที่ 75 หมู่ที่ 5 ต.บ้านใหม่ อ.ปากเกร็ด จ.นนทบุรี 11120,Altervim,13.92661528725318,100.5259708766214,,
"2x CCS2: 150 kW, Type2: 11 kW",Lotus's Nong Bua Lam Phu,โลตัส หนองบัวลำภู,150 kW,36 ม.2 ต.ลำภู อ.เมืองหนองบัวลำภู จ.หนองบัวลำภู 39000,Altervim,17.214806,102.431416,,
"2x CCS2: 60 kW, Type2: 11 kW",Lotus's Korat,โลตัส โคราช,60 kW,719 5ถ. มิตรภาพ ตำบลในเมือง อำเภอเมืองนครราชสีมา นครราชสีมา 30000,Altervim,14.9779293,102.070676,,
"2x CCS2: 150 kW, Type2: 11 kW",Lotus's Pak Thong Chai,โลตัส ปักธงชัย,150 kW, 255 ม. 10 ต.เมืองปัก อ.ปักธงชัย จ.นครราชสีมา 30150,Altervim,14.72107991,102.0158978,,
"2x CCS2: 60 kW, Type2: 11 kW",Lotus's Korat 2,โลตัส โคราช 2,60 kW,223 ม. 1 ถ.ราชสีมา-โชคชัย ต.หนองบัวศาลา อ.เมือง จ.นครราชสีมา 30000,Altervim,14.94872,102.12716,,
"2x CCS2: 60 kW, Type2: 11 kW",Lotus's Dan Khun Thot,โลตัส ด่านขุนทด,60 kW,147 ม.2 ต.ด่านขุนทด อ.ด่านขุนทด จ.นครราชสีมา 30210,Altervim,15.21524,101.76839,,
"2x CCS2: 60 kW, Type2: 11 kW",Tesco Lotus Thatphanom,โลตัส ธาตุพนม ,60 kW,เลขที่ 212 ม.4 ต.ธาตุพนมเหนือ อ.ธาตุพนม จ.นครพนม 48110,Altervim,16.9575,104.72681,,
"2x CCS2: 150 kW, Type2: 11 kW",Lotus's Nakhon Pathom,โลตัส นครปฐม,150 kW,1048 ถ. เพชรเกษม ตำบลสนามจันทร์ อำเภอเมืองนครปฐม นครปฐม,Altervim,13.80875,100.05259,,
"2x CCS2: 60 kW, Type2: 11 kW",Lotus's Sam Phran,โลตัส สามพราน,60 kW,20/10 หมู่ที่ 1 ถ. เพชรเกษม ตาบล ท่าตลาด อาเภอสามพราน นครปฐม 73110,Altervim,13.74286,100.21976,,
"2x CCS2: 150 kW, Type2: 11 kW",Lotus’s Nakhon Sawan 1,โลตัส นครสวรรค์1,150 kW,124/12 หมู่ที่ 10 ถ. พหลโยธิน ตำบลวัดไทร อำเภอเมืองนครสวรรค์ นครสวรรค์ 60000,Altervim,15.707913,100.094699,,
"2x CCS2: 150 kW, Type2: 11 kW",Lotus's Nakhon Nayok,โลตัส นครนายก,150 kW,150 ทางหลวงแผ่นดินหมายเลข. 3049 ตำบล บ้านใหญ่ อำเภอเมืองนครนายก นครนายก 26000,Altervim,14.20776641672894,101.2178148935847,,
"2x CCS2: 150 kW, Type2: 11 kW",Lotus's Cha-am,โลตัส ชะอำ-เพชรบุรี,150 kW,10 ถ. เพชรเกษม ตำบล ชะอำ อำเภอชะอำ เพชรบุรี 76120,Altervim,12.7993263570115,99.97264225125744,,
"2x CCS2: 150 kW, Type2: 11 kW",Lotus's Prachuab Khiri Khan,โลตัส ประจวบคีรีขันธ์,150 kW,เลขที่ 51/12 ถ.เพชรเกษม ต.เกาะหลัก อ.เมือง จ.ประจวบคีรีขันธ์ 77000,Altervim,11.7976,99.77733,,
"2x CCS2: 150 kW, Type2: 11 kW",Lotus's Thalang,โลตัส ถลาง,150 kW,303 ม. 1 ต.เทพกระษัตรี อ.ถลาง จ.ภูเก็ต 83110,Altervim,8.0215333,98.3381486,,
"2x CCS2: 150 kW, Type2: 11 kW",Lotus's Chalong,โลตัส ฉลอง,150 kW,21/10 ม. 7 ต.ฉลอง อ.เมืองภูเก็ต จ.ภูเก็ต 83130,Altervim,7.83990604568833,98.33375043,,
"2x CCS2: 150 kW, Type2: 11 kW",Lotus's Phatthalung,โลตัส พัทลุง,150 kW,155 ม. 2 ต.เขาเจียก อ.เมือง จ.พัทลุง 93000,Altervim,7.62553,100.04603,,
"2x CCS2: 150 kW, Type2: 11 kW",Lotus’s Phitsanulok 2,โลตัส พิษณุโลก 2 (ท่าทอง),150 kW,444 ม. 6 ต.ท่าทอง อ.เมือง จ.พิษณูโลก 65000,Altervim,16.799194,100.216445,,
"2x CCS2: 150 kW, Type2: 11 kW",Lotus's Lom Sak,โลตัส หล่มสัก,150 kW,171 ถ.คชเสนีย์ ต.หล่มสัก อ.หล่มสัก จ.เพชรบูรณ์ 67120,Altervim,16.78773,101.23948,,
"2x CCS2: 60 kW, Type2: 11 kW",Lotus’s Bueng Sam Phan,โลตัส บึงสามพัน,60 kW,86/5 ม. 3 ต.ซับสมอทอด อ.บึงสามพัน จ.เพชรบูรณ์ 67160,Altervim,15.79311,101.00614,,
"2x CCS2: 60 kW, Type2: 11 kW",Lotus's Phrae,โลตัส แพร่,60 kW,55/4 ม. 1 ต.ทุ่งกวาว อ.เมือง จ.แพร่ 54000,Altervim,18.15341,100.15645,,
"2x CCS2: 150 kW, Type2: 11 kW",Lotus's Kabin Buri,โลตัส กบินทร์บุรี,150 kW,899 หมู่ที่ 8 ตาบล เมืองเก่า อาเภอ กบินทร์บุรี จ.ปราจีนบุรี 25240,Altervim,13.98557,101.77121,,
"2x CCS2: 60 kW, Type2: 11 kW",Lotus’s Prachin Buri,โลตัส ปราจีนบุรี,60 kW,15/1 ม.4 ต.บางบริบูรณ์ อ.เมืองปราจีนบุรี จ.ปราจีนบุรี 25000,Altervim,14.0589,101.39118,,
"2x CCS2: 150 kW, Type2: 11 kW",Lotus's Rangsit,โลตัส รังสิต,150 kW,801 ถ.พหลโยธิน ต.ประชาธิปัตย์ อ.ธัญบุรี จ.ปทุมธานี 12130,Altervim,13.9938923,100.612622,,
"2x CCS2: 150 kW, Type2: 11 kW",Lotus's Pathum Thani,โลตัส ปทุมธานี,150 kW,21 49 ถนน ปทุมธานีเฉลิมพระเกียรติ ตำบล บางปรอก อำเภอเมืองปทุมธานี ปทุมธานี 12000 ,Altervim,14.02036,100.52606,,
"2x CCS2: 60 kW, Type2: 11 kW",Lotus's Lumlukka Klong 2,โลตัส ลำลูกกา คลอง 2,60 kW,20/68 ม. 18 ซ.ลำลูกกา19 ถ.ลำลูกกา ต.คูคต อ.ลำลูกกา จ.ปทุมธานี 12130,Altervim,13.9468,100.64488,,
"2x CCS2: 150 kW, Type2: 11 kW",Lotus's Khlong Luang,โลตัส คลองหลวง,150 kW,101 หมู่ที่ 8 ถนน คลองหลวง ตำบล คลองหนึ่ง อำเภอคลองหลวง ปทุมธานี 12120,Altervim,14.06626,100.62916,,
"2x CCS2: 150 kW, Type2: 11 kW",Lotus’s Bang Kadi,โลตัส บางกะดี,150 kW,204 หมู่ 5 ถ. ติวานนท์ ตำบล บางกะดี อำเภอเมืองปทุมธานี ปทุมธานี 12000,Altervim,13.97932,100.55166,,
"2x CCS2: 60 kW, Type2: 11 kW",Lotus’s Phayao,โลตัส พะเยา,60 kW,669 ม. 3 ต.ท่าวังทอง อ.เมือง จ.พะเยา 56000,Altervim,19.18396,99.89685,,
"2x CCS2: 60 kW, Type2: 11 kW",Lotus's Ratchaburi,โลตัส ราชบุรี,60 kW,8/4 ถนน คฑาธร ตำบล หน้าเมือง อำเภอเมืองราชบุรี ราชบุรี 70000,Altervim,13.53759,99.81818,,
"2x CCS2: 150 kW, Type2: 11 kW",Lotus’s Roi Et,โลตัส ร้อยเอ็ด,150 kW,68 ถ.เทวาภิบาล ต.ในเมือง อ.เมือง จ.ร้อยเอ็ด 45000,Altervim,16.0545089,103.6382255,,
"2x CCS2: 60 kW, Type2: 11 kW",Lotus's Rayong,​โลตัส ระยอง,60 kW,เลขที่ 3 ถ.สุขุมวิท ต.ท่าประดู่ อ.เมือง จ.ระยอง 21000,Altervim,12.6842842,101.269717,,
"2x CCS2: 150 kW, Type2: 11 kW",Lotus's Klaeng,โลตัส แกลง,150 kW,279/1 ถ. สุขุมวิท ตำบล ทางเกวียน อำเภอแกลง ระยอง 21110,Altervim,12.78696,101.65862,,
"2x CCS2: 60 kW, Type2: 11 kW",Lotus’s Songkhla,โลตัส สงขลา,60 kW,64 ม. 2ต.เขารูปช้าง อ.เมือง จ.สงขลา 90000 ,Altervim,7.15297,100.60142,,
"2x CCS2: 60 kW, Type2: 11 kW",Lotus's Hatyai 2 ,โลตัส หาดใหญ่ 2 ,60 kW,1318 ถ.เพชรเกษม ต.หาดใหญ่ อ.หาดใหญ่ จ.สงขลา 90110,Altervim,7.00074,100.44352,,
"2x CCS2: 150 kW, Type2: 11 kW",Lotus's Mahachai 2,โลตัส มหาชัย 2 ,150 kW,99/8 ม.8 ต.ท่าทราย อ.เมืองสมุทรสาคร จ.สมุทรสาคร 74000,Altervim,13.56317,100.27972,,
"2x CCS2: 60 kW, Type2: 11 kW",Lotus’s Aranyaprathet,โลตัส อรัญประเทศ,60 kW,559 ม. 1 ต.บ้านใหม่หนองไทร อ.อรัญประเทศ จ.สระแก้ว 27210,Altervim,13.71105,102.48283,,
"2x CCS2: 60 kW, Type2: 11 kW",Lotus’s Wiang Sa,โลตัส เวียงสระ ,60 kW,เลขที่ 222 ม. 1 ต.เวียงสระ อ.เวียงสระ จ.สุราษฎร์ธานี 84000,Altervim,8.639298,99.352012,,
"2x CCS2: 150 kW, Type2: 11 kW",Lotus's Suratthani,โลตัส สุราษฎร์ธานี,150 kW,9/1 ม.3 ถ.เลี่ยงเมือง ต.มะขามเตี้ย อ.เมือง จ.สุราษฎร์ธานี 84000,Altervim,9.1040142,99.3069756,,
"2x CCS2: 150 kW, Type2: 11 kW",Lotus's Chaiya,โลตัส ไชยา,150 kW,97 ม.2 ต.เวียง อ.ไชยา จ.สุราษฏ์ธานี 84110,Altervim,9.38297,99.17195,,
"2x CCS2: 60 kW, Type2: 11 kW",Lotus’s Sakon Nakhon,โลตัส สกลนคร,60 kW,243 ถ.ใสสว่าง ต.ธาตุเชิงชุม อ.เมืองสกลนคร จ.สกลนคร 47000,Altervim,17.16864794,104.1393696,,
"2x CCS2: 60 kW, Type2: 11 kW",Lotus's Suphan Buri,โลตัส สุพรรณบุรี,60 kW,293 ม.5 ถ.สุพรรณบุรี-ชัยนาท ต.ท่าระหัด อ.เมือง จ.สุพรรณบุรี 72000,Altervim,14.46946,100.12945,,
